symbol,timeframe,sl,tp,rsi_buy,rsi_sell,use_candlestick,win_rate,net_pips,profit_factor,num_trades,rr_ratio
EURUSDm,M15,15.0,4.0,45-60,40-55,True,83.17307692307693,167.0,1.318095238095238,208,0.26666666666666666
EURUSDm,M15,15.0,4.0,40-60,40-60,True,82.83261802575107,172.0,1.2866666666666666,233,0.26666666666666666
EURUSDm,M30,15.0,4.0,40-60,40-60,True,82.35294117647058,110.0,1.2444444444444445,170,0.26666666666666666
EURUSDm,M15,15.0,4.0,45-65,35-55,True,82.18181818181817,169.0,1.2299319727891156,275,0.26666666666666666
EURUSDm,M15,15.0,5.0,45-60,40-55,True,81.68316831683168,270.0,1.4864864864864864,202,0.3333333333333333
EURUSDm,M15,15.0,4.0,50-70,30-50,True,80.89887640449437,99.0,1.1294117647058823,267,0.26666666666666666
EURUSDm,M15,15.0,5.0,40-60,40-60,True,80.80357142857143,260.0,1.4031007751937985,224,0.3333333333333333
EURUSDm,M15,15.0,5.0,45-65,35-55,True,80.59701492537313,300.0,1.3846153846153846,268,0.3333333333333333
EURUSDm,M30,15.0,4.0,40-60,40-60,False,80.4953560371517,95.0,1.1005291005291005,323,0.26666666666666666
EURUSDm,M15,12.0,4.0,45-60,40-55,True,80.47619047619048,184.0,1.3739837398373984,210,0.3333333333333333
EURUSDm,M15,12.0,4.0,40-60,40-60,True,80.42553191489363,204.0,1.3695652173913044,235,0.3333333333333333
EURUSDm,M30,15.0,4.0,45-60,40-55,True,80.3921568627451,42.0,1.0933333333333333,153,0.26666666666666666
EURUSDm,M30,15.0,4.0,45-60,40-55,False,79.93079584775087,54.0,1.0620689655172413,289,0.26666666666666666
EURUSDm,M30,15.0,4.0,50-70,30-50,True,79.88826815642457,32.0,1.0592592592592593,179,0.26666666666666666
EURUSDm,M30,15.0,5.0,40-60,40-60,True,79.88165680473372,165.0,1.3235294117647058,169,0.3333333333333333
EURUSDm,M15,12.0,4.0,45-65,35-55,True,79.7153024911032,212.0,1.3099415204678362,281,0.3333333333333333
EURUSDm,M30,15.0,4.0,50-70,30-50,False,79.70588235294119,49.0,1.047342995169082,340,0.26666666666666666
EURUSDm,M30,15.0,5.0,40-60,40-60,False,79.55271565495208,285.0,1.296875,313,0.3333333333333333
