timeframe,sl,tp,rr_ratio,rsi_buy,rsi_sell,use_candlestick,win_rate,num_trades,final_balance,net_roi,max_drawdown
M15,8.0,20.0,2.5,30-70,30-70,False,31.309297912713475,527,773.3004061766891,54.66008123533782,19.8855679240889
M15,15.0,45.0,3.0,30-70,30-70,True,30.414746543778804,217,771.1541837436142,54.230836748722844,10.519181284795247
M15,10.0,30.0,3.0,30-70,30-70,False,27.880184331797235,434,769.2900276581402,53.85800553162803,17.773621063284352
M15,6.0,18.0,3.0,30-70,30-70,False,27.1523178807947,604,765.1744832465299,53.034896649305985,22.49508116623777
M15,6.0,18.0,3.0,40-60,40-60,False,27.727272727272727,440,753.5347766438937,50.70695532877873,24.529365956926913
M15,8.0,24.0,3.0,30-70,30-70,False,27.416173570019726,507,753.5218501905861,50.704370038117204,19.50532124035826
M15,10.0,25.0,2.5,45-60,40-55,True,35.35911602209944,181,749.2299976517844,49.845999530356885,10.953554191179729
M15,10.0,30.0,3.0,45-60,40-55,True,30.89887640449438,178,738.1528461246622,47.630569224932444,10.519181284795215
M15,8.0,24.0,3.0,45-60,40-55,True,30.526315789473685,190,736.8425962496743,47.36851924993486,13.994164535871127
M15,8.0,24.0,3.0,30-70,30-70,True,28.57142857142857,301,732.0456553347285,46.409131066945704,16.203400886870412
M15,10.0,30.0,3.0,30-70,30-70,True,28.832116788321166,274,727.7357372918626,45.54714745837252,17.724911742783366
M15,8.0,20.0,2.5,30-70,30-70,True,32.459016393442624,305,726.9135514010611,45.38271028021222,17.740282025009158
M15,8.0,16.0,2.0,30-70,30-70,False,35.94890510948905,548,726.3687392521826,45.27374785043653,19.388407484813076
M15,15.0,45.0,3.0,40-60,40-60,True,31.25,160,725.6089741408446,45.121794828168916,9.187666296925755
M15,10.0,20.0,2.0,45-60,40-55,True,40.43715846994536,183,723.8005784454061,44.760115689081225,10.466174574128338
M15,10.0,20.0,2.0,30-70,30-70,True,38.028169014084504,284,723.740379476761,44.74807589535219,10.519528783120357
M15,8.0,24.0,3.0,40-60,40-60,True,29.807692307692307,208,720.4707391778105,44.094147835562104,16.004666429773263
M30,15.0,45.0,3.0,30-70,30-70,True,30.76923076923077,169,717.5025632654763,43.50051265309526,8.648275251635924
M15,12.0,21.6,1.8,45-60,40-55,True,43.18181818181818,176,710.1017650531381,42.02035301062762,8.141808420365386
M15,15.0,45.0,3.0,45-60,40-55,True,31.292517006802722,147,705.7274256741119,41.145485134822394,11.832685725170625
M15,10.0,30.0,3.0,45-60,40-55,False,28.155339805825243,309,702.7838200760652,40.55676401521305,20.31026802795461
M15,10.0,18.0,1.8,45-60,40-55,True,42.62295081967213,183,699.8292997563186,39.965859951263724,10.466174574128305
M15,15.0,37.5,2.5,40-60,40-60,True,34.54545454545455,165,689.9718115255009,37.99436230510019,7.381122093387112
M15,15.0,37.5,2.5,45-60,40-55,True,34.868421052631575,152,684.256820839473,36.8513641678946,7.035428147344909
M15,12.0,24.0,2.0,45-60,40-55,True,39.6551724137931,174,682.460136463318,36.4920272926636,10.49285565410527
M15,10.0,25.0,2.5,45-60,40-55,False,31.746031746031743,315,680.649268300316,36.12985366006319,22.244858579887193
M15,10.0,25.0,2.5,40-60,40-60,True,33.33333333333333,198,677.0033334290961,35.40066668581922,11.844018649267914
M15,10.0,25.0,2.5,30-70,30-70,True,32.028469750889684,281,676.7683774244916,35.353675484898325,17.383137616441307
